# Distance(km)    Depth(km)    Pressure(bar)    Vs(km/s)
1631.051181    100.500000    34037.967600    4.241720
1675.283842    100.500000    34037.967600    4.282030
1719.516573    100.500000    34037.967600    4.335050
1763.749420    100.500000    34037.967600    4.388070
1767.605696    100.500000    34037.967600    4.376720
1811.819174    100.500000    34037.967600    4.406600
1856.032495    100.500000    34037.967600    4.416380
1900.245710    100.500000    34037.967600    4.430400
1944.458870    100.500000    34037.967600    4.439100
1988.672027    100.500000    34037.967600    4.448720
2032.885231    100.500000    34037.967600    4.467470
2077.098534    100.500000    34037.967600    4.496620
2121.311988    100.500000    34037.967600    4.537360
2125.152738    100.500000    34037.967600    4.516350
2169.344426    100.500000    34037.967600    4.561000
2213.536001    100.500000    34037.967600    4.599610
2257.727519    100.500000    34037.967600    4.617110
2301.919035    100.500000    34037.967600    4.617570
2346.110604    100.500000    34037.967600    4.596100
2390.302282    100.500000    34037.967600    4.578180
2434.494123    100.500000    34037.967600    4.571770
2394.158800    100.500000    34037.967600    4.569100
2438.326779    100.500000    34037.967600    4.571680
2482.494609    100.500000    34037.967600    4.571630
2526.662351    100.500000    34037.967600    4.567110
2570.830065    100.500000    34037.967600    4.564290
2614.997811    100.500000    34037.967600    4.583230
2659.165648    100.500000    34037.967600    4.614760
2663.027537    100.500000    34037.967600    4.568450
22.144511    1.000000    99.960000    nan
66.433551    1.000000    99.960000    nan
110.722646    1.000000    99.960000    nan
155.011833    1.000000    99.960000    nan
199.301148    1.000000    99.960000    nan
247.434266    1.000000    99.960000    nan
291.712722    1.000000    99.960000    nan
335.991046    1.000000    99.960000    nan
380.269277    1.000000    99.960000    nan
424.547455    1.000000    99.960000    nan
468.825618    1.000000    99.960000    nan
513.103805    1.000000    99.960000    nan
557.382054    1.000000    99.960000    nan
601.660404    1.000000    99.960000    nan
645.938894    1.000000    99.960000    nan
694.054920    1.000000    99.960000    1.485000
738.320277    1.000000    99.960000    1.771080
782.585522    1.000000    99.960000    1.902470
826.850697    1.000000    99.960000    2.203980
871.115844    1.000000    99.960000    2.542760
915.381002    1.000000    99.960000    2.725720
959.646214    1.000000    99.960000    2.932970
1003.911520    1.000000    99.960000    2.904700
1048.176963    1.000000    99.960000    2.527340
1052.028010    1.000000    99.960000    2.794230
1096.278320    1.000000    99.960000    2.465750
1140.528479    1.000000    99.960000    2.406590
1184.778531    1.000000    99.960000    2.420700
1229.028520    1.000000    99.960000    2.464120
1273.278491    1.000000    99.960000    2.492560
1317.528487    1.000000    99.960000    2.498170
1361.778553    1.000000    99.960000    2.587360
1406.028733    1.000000    99.960000    2.633340
1454.120281    1.000000    99.960000    2.723490
1498.353139    1.000000    99.960000    2.660450
1542.585877    1.000000    99.960000    2.597680
1586.818542    1.000000    99.960000    2.567520
1631.051181    1.000000    99.960000    2.513290
1675.283842    1.000000    99.960000    2.473490
1719.516573    1.000000    99.960000    2.409240
1763.749420    1.000000    99.960000    2.343270
1767.605696    1.000000    99.960000    2.338790
1811.819174    1.000000    99.960000    2.321370
1856.032495    1.000000    99.960000    2.341580
1900.245710    1.000000    99.960000    2.392550
1944.458870    1.000000    99.960000    2.407480
1988.672027    1.000000    99.960000    2.382040
2032.885231    1.000000    99.960000    2.345800
2077.098534    1.000000    99.960000    2.321800
2121.311988    1.000000    99.960000    2.266930
2125.152738    1.000000    99.960000    2.364860
2169.344426    1.000000    99.960000    2.235930
2213.536001    1.000000    99.960000    2.070680
2257.727519    1.000000    99.960000    1.967350
2301.919035    1.000000    99.960000    1.913290
2346.110604    1.000000    99.960000    1.864950
2390.302282    1.000000    99.960000    1.852710
2434.494123    1.000000    99.960000    1.852220
2394.158800    1.000000    99.960000    1.923200
2438.326779    1.000000    99.960000    1.844180
2482.494609    1.000000    99.960000    1.850330
2526.662351    1.000000    99.960000    2.051880
2570.830065    1.000000    99.960000    2.335610
2614.997811    1.000000    99.960000    2.253130
2659.165648    1.000000    99.960000    2.132900
2663.027537    1.000000    99.960000    2.156580
22.144511    101.000000    34198.511200    nan
66.433551    101.000000    34198.511200    nan
110.722646    101.000000    34198.511200    nan
155.011833    101.000000    34198.511200    nan
199.301148    101.000000    34198.511200    nan
247.434266    101.000000    34198.511200    nan
291.712722    101.000000    34198.511200    nan
335.991046    101.000000    34198.511200    nan
380.269277    101.000000    34198.511200    nan
424.547455    101.000000    34198.511200    nan
468.825618    101.000000    34198.511200    nan
513.103805    101.000000    34198.511200    nan
557.382054    101.000000    34198.511200    nan
601.660404    101.000000    34198.511200    nan
645.938894    101.000000    34198.511200    nan
694.054920    101.000000    34198.511200    4.440840
738.320277    101.000000    34198.511200    4.468190
782.585522    101.000000    34198.511200    4.464490
826.850697    101.000000    34198.511200    4.474360
871.115844    101.000000    34198.511200    4.472400
915.381002    101.000000    34198.511200    4.464980
959.646214    101.000000    34198.511200    4.453280
1003.911520    101.000000    34198.511200    4.425470
1048.176963    101.000000    34198.511200    4.381110
1052.028010    101.000000    34198.511200    4.371950
1096.278320    101.000000    34198.511200    4.332220
1140.528479    101.000000    34198.511200    4.311110
1184.778531    101.000000    34198.511200    4.287280
1229.028520    101.000000    34198.511200    4.248700
1273.278491    101.000000    34198.511200    4.241400
1317.528487    101.000000    34198.511200    4.250790
1361.778553    101.000000    34198.511200    4.263590
1406.028733    101.000000    34198.511200    4.263800
1454.120281    101.000000    34198.511200    4.279690
1498.353139    101.000000    34198.511200    4.230650
1542.585877    101.000000    34198.511200    4.206910
1586.818542    101.000000    34198.511200    4.217280
1631.051181    101.000000    34198.511200    4.244200
1675.283842    101.000000    34198.511200    4.284100
1719.516573    101.000000    34198.511200    4.337100
1763.749420    101.000000    34198.511200    4.390370
1767.605696    101.000000    34198.511200    4.378740
1811.819174    101.000000    34198.511200    4.408740
1856.032495    101.000000    34198.511200    4.418460
1900.245710    101.000000    34198.511200    4.432240
1944.458870    101.000000    34198.511200    4.440600
1988.672027    101.000000    34198.511200    4.450100
2032.885231    101.000000    34198.511200    4.468800
2077.098534    101.000000    34198.511200    4.497850
2121.311988    101.000000    34198.511200    4.538320
2125.152738    101.000000    34198.511200    4.517400
2169.344426    101.000000    34198.511200    4.561850
2213.536001    101.000000    34198.511200    4.600260
2257.727519    101.000000    34198.511200    4.617690
2301.919035    101.000000    34198.511200    4.618200
2346.110604    101.000000    34198.511200    4.596710
2390.302282    101.000000    34198.511200    4.578740
2434.494123    101.000000    34198.511200    4.572670
2394.158800    101.000000    34198.511200    4.570070
2438.326779    101.000000    34198.511200    4.572650
2482.494609    101.000000    34198.511200    4.572620
2526.662351    101.000000    34198.511200    4.568000
2570.830065    101.000000    34198.511200    4.564640
2614.997811    101.000000    34198.511200    4.582870
2659.165648    101.000000    34198.511200    4.613520
2663.027537    101.000000    34198.511200    4.567780
22.144511    101.500000    34359.054800    nan
66.433551    101.500000    34359.054800    nan
110.722646    101.500000    34359.054800    nan
155.011833    101.500000    34359.054800    nan
199.301148    101.500000    34359.054800    nan
247.434266    101.500000    34359.054800    nan
291.712722    101.500000    34359.054800    nan
335.991046    101.500000    34359.054800    nan
380.269277    101.500000    34359.054800    nan
424.547455    101.500000    34359.054800    nan
468.825618    101.500000    34359.054800    nan
513.103805    101.500000    34359.054800    nan
557.382054    101.500000    34359.054800    nan
601.660404    101.500000    34359.054800    nan
645.938894    101.500000    34359.054800    nan
694.054920    101.500000    34359.054800    4.440450
738.320277    101.500000    34359.054800    4.468030
782.585522    101.500000    34359.054800    4.464480
826.850697    101.500000    34359.054800    4.474670
871.115844    101.500000    34359.054800    4.473080
915.381002    101.500000    34359.054800    4.466130
959.646214    101.500000    34359.054800    4.454940
1003.911520    101.500000    34359.054800    4.427790
1048.176963    101.500000    34359.054800    4.383680
1052.028010    101.500000    34359.054800    4.373400
1096.278320    101.500000    34359.054800    4.334310
1140.528479    101.500000    34359.054800    4.313270
1184.778531    101.500000    34359.054800    4.289800
1229.028520    101.500000    34359.054800    4.252030
1273.278491    101.500000    34359.054800    4.244920
1317.528487    101.500000    34359.054800    4.255030
1361.778553    101.500000    34359.054800    4.267270
1406.028733    101.500000    34359.054800    4.266930
1454.120281    101.500000    34359.054800    4.280780
1498.353139    101.500000    34359.054800    4.231800
1542.585877    101.500000    34359.054800    4.208090
1586.818542    101.500000    34359.054800    4.218640
1631.051181    101.500000    34359.054800    4.245530
1675.283842    101.500000    34359.054800    4.285540
1719.516573    101.500000    34359.054800    4.338710
1763.749420    101.500000    34359.054800    4.392250
1767.605696    101.500000    34359.054800    4.380310
1811.819174    101.500000    34359.054800    4.410330
1856.032495    101.500000    34359.054800    4.420090
1900.245710    101.500000    34359.054800    4.433800
1944.458870    101.500000    34359.054800    4.441970
1988.672027    101.500000    34359.054800    4.451260
2032.885231    101.500000    34359.054800    4.469880
2077.098534    101.500000    34359.054800    4.498840
2121.311988    101.500000    34359.054800    4.539150
2125.152738    101.500000    34359.054800    4.518340
2169.344426    101.500000    34359.054800    4.562610
2213.536001    101.500000    34359.054800    4.600940
2257.727519    101.500000    34359.054800    4.618330
2301.919035    101.500000    34359.054800    4.618930
2346.110604    101.500000    34359.054800    4.597400
2390.302282    101.500000    34359.054800    4.579420
2434.494123    101.500000    34359.054800    4.573710
2394.158800    101.500000    34359.054800    4.571240
2438.326779    101.500000    34359.054800    4.573860
2482.494609    101.500000    34359.054800    4.574010
2526.662351    101.500000    34359.054800    4.569450
2570.830065    101.500000    34359.054800    4.565760
2614.997811    101.500000    34359.054800    4.583270
2659.165648    101.500000    34359.054800    4.613150
2663.027537    101.500000    34359.054800    4.567780
22.144511    102.000000    34519.598400    nan
66.433551    102.000000    34519.598400    nan
110.722646    102.000000    34519.598400    nan
155.011833    102.000000    34519.598400    nan
199.301148    102.000000    34519.598400    nan
247.434266    102.000000    34519.598400    nan
291.712722    102.000000    34519.598400    nan
335.991046    102.000000    34519.598400    nan
380.269277    102.000000    34519.598400    nan
424.547455    102.000000    34519.598400    nan
468.825618    102.000000    34519.598400    nan
513.103805    102.000000    34519.598400    nan
557.382054    102.000000    34519.598400    nan
601.660404    102.000000    34519.598400    nan
645.938894    102.000000    34519.598400    nan
694.054920    102.000000    34519.598400    4.441270
738.320277    102.000000    34519.598400    4.468640
782.585522    102.000000    34519.598400    4.465170
826.850697    102.000000    34519.598400    4.475430
871.115844    102.000000    34519.598400    4.473880
915.381002    102.000000    34519.598400    4.467210
959.646214    102.000000    34519.598400    4.456230
1003.911520    102.000000    34519.598400    4.429920
1048.176963    102.000000    34519.598400    4.386520
1052.028010    102.000000    34519.598400    4.374930
1096.278320    102.000000    34519.598400    4.336570
1140.528479    102.000000    34519.598400    4.316070
1184.778531    102.000000    34519.598400    4.292890
1229.028520    102.000000    34519.598400    4.255690
1273.278491    102.000000    34519.598400    4.247930
1317.528487    102.000000    34519.598400    4.257700
1361.778553    102.000000    34519.598400    4.269550
1406.028733    102.000000    34519.598400    4.269140
1454.120281    102.000000    34519.598400    4.282160
1498.353139    102.000000    34519.598400    4.233850
1542.585877    102.000000    34519.598400    4.210610
1586.818542    102.000000    34519.598400    4.221060
1631.051181    102.000000    34519.598400    4.247620
1675.283842    102.000000    34519.598400    4.287420
1719.516573    102.000000    34519.598400    4.340580
1763.749420    102.000000    34519.598400    4.394400
1767.605696    102.000000    34519.598400    4.382310
1811.819174    102.000000    34519.598400    4.412690
1856.032495    102.000000    34519.598400    4.422410
1900.245710    102.000000    34519.598400    4.435850
1944.458870    102.000000    34519.598400    4.443570
1988.672027    102.000000    34519.598400    4.452630
2032.885231    102.000000    34519.598400    4.471150
2077.098534    102.000000    34519.598400    4.500070
2121.311988    102.000000    34519.598400    4.540210
2125.152738    102.000000    34519.598400    4.519540
